task_id,instruction,step_count,gold_path,constant_inputs,Step,api_step,expected_status_code,required_steps,final_step,output_bindings_step,output_bindings_content,dependency_bindings_steps_from,dependency_bindings_steps_to,dependency_bindings_content,success_condition,oracle_actions_1_regenerate_data,oracle_actions_2_resolve_resource,acceptable_failure_codes
tmdb_001,give me the number of movies directed by Sofia Coppola,2,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits,manual review required for first-step query/body constants,Step 1,GET /search/person ,[2XX],Y,2,Step 1,$.results[0].id as person_id,Step 1,Step 2,person_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_001,give me the number of movies directed by Sofia Coppola,2,Step 1: GET /search/person -> Step 2: GET /person/{person_id}/movie_credits,manual review required for first-step query/body constants,Step 2,GET /person/{person_id}/movie_credits,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_002,Who was the lead actor in the movie The Dark Knight?,2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 1,GET /search/movie ,[2XX],Y,2,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_002,Who was the lead actor in the movie The Dark Knight?,2,Step 1: GET /search/movie -> Step 2: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/credits,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_003,Who directed the top-1 rated movie?,2,Step 1: GET /movie/top_rated -> Step 2: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 1,GET /movie/top_rated ,[2XX],Y,2,Step 1,$.results[0].id as movie_id,Step 1,Step 2,movie_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_003,Who directed the top-1 rated movie?,2,Step 1: GET /movie/top_rated -> Step 2: GET /movie/{movie_id}/credits,manual review required for first-step query/body constants,Step 2,GET /movie/{movie_id}/credits,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_004,give me a image for the collection Star Wars,2,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id}/images,manual review required for first-step query/body constants,Step 1,GET /search/collection ,[2XX],Y,2,Step 1,$.results[0].id as collection_id,Step 1,Step 2,collection_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_004,give me a image for the collection Star Wars,2,Step 1: GET /search/collection -> Step 2: GET /collection/{collection_id}/images,manual review required for first-step query/body constants,Step 2,GET /collection/{collection_id}/images,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_005,What is the logo of the Walt Disney?,2,Step 1: GET /search/company -> Step 2: GET /company/{company_id}/images,manual review required for first-step query/body constants,Step 1,GET /search/company ,[2XX],Y,2,Step 1,$.results[0].id as company_id,Step 1,Step 2,company_id,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
tmdb_005,What is the logo of the Walt Disney?,2,Step 1: GET /search/company -> Step 2: GET /company/{company_id}/images,manual review required for first-step query/body constants,Step 2,GET /company/{company_id}/images,[2XX],Y,2,,,,,,all required steps executed and passed,"[400, 422]",[404],"[401, 403]"
